id,date,store_nbr,family,onpromotion,city,state,type,cluster,dcoilwtico,transactions,holiday_type
3000888,719163,1,AUTOMOTIVE,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000889,719163,1,BABY CARE,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000890,719163,1,BEAUTY,2,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000891,719163,1,BEVERAGES,20,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000892,719163,1,BOOKS,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000893,719163,1,BREAD/BAKERY,12,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000894,719163,1,CELEBRATION,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000895,719163,1,CLEANING,25,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000896,719163,1,DAIRY,45,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000897,719163,1,DELI,18,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000898,719163,1,EGGS,1,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000899,719163,1,FROZEN FOODS,1,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000900,719163,1,GROCERY I,64,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000901,719163,1,GROCERY II,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000902,719163,1,HARDWARE,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000903,719163,1,HOME AND KITCHEN I,2,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000904,719163,1,HOME AND KITCHEN II,6,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000905,719163,1,HOME APPLIANCES,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000906,719163,1,HOME CARE,10,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000907,719163,1,LADIESWEAR,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000908,719163,1,LAWN AND GARDEN,16,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000909,719163,1,LINGERIE,5,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000910,719163,1,"LIQUOR,WINE,BEER",9,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000911,719163,1,MAGAZINES,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000912,719163,1,MEATS,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000913,719163,1,PERSONAL CARE,18,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000914,719163,1,PET SUPPLIES,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000915,719163,1,PLAYERS AND ELECTRONICS,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000916,719163,1,POULTRY,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000917,719163,1,PREPARED FOODS,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000918,719163,1,PRODUCE,256,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000919,719163,1,SCHOOL AND OFFICE SUPPLIES,14,Quito,Pichincha,D,13,46.8,0.0,nannannan
3000920,719163,1,SEAFOOD,0,Quito,Pichincha,D,13,46.8,0.0,nannannan
3002670,719163,1,AUTOMOTIVE,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002671,719163,1,BABY CARE,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002672,719163,1,BEAUTY,1,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002673,719163,1,BEVERAGES,17,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002674,719163,1,BOOKS,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002675,719163,1,BREAD/BAKERY,7,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002676,719163,1,CELEBRATION,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002677,719163,1,CLEANING,7,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002678,719163,1,DAIRY,13,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002679,719163,1,DELI,7,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002680,719163,1,EGGS,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002681,719163,1,FROZEN FOODS,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002682,719163,1,GROCERY I,33,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002683,719163,1,GROCERY II,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002684,719163,1,HARDWARE,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002685,719163,1,HOME AND KITCHEN I,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002686,719163,1,HOME AND KITCHEN II,2,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002687,719163,1,HOME APPLIANCES,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002688,719163,1,HOME CARE,7,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002689,719163,1,LADIESWEAR,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002690,719163,1,LAWN AND GARDEN,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002691,719163,1,LINGERIE,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002692,719163,1,"LIQUOR,WINE,BEER",5,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002693,719163,1,MAGAZINES,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002694,719163,1,MEATS,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002695,719163,1,PERSONAL CARE,7,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002696,719163,1,PET SUPPLIES,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002697,719163,1,PLAYERS AND ELECTRONICS,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002698,719163,1,POULTRY,1,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002699,719163,1,PREPARED FOODS,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002700,719163,1,PRODUCE,6,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002701,719163,1,SCHOOL AND OFFICE SUPPLIES,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3002702,719163,1,SEAFOOD,0,Quito,Pichincha,D,13,47.07,0.0,nannannan
3004452,719163,1,AUTOMOTIVE,0,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004453,719163,1,BABY CARE,0,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004454,719163,1,BEAUTY,1,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004455,719163,1,BEVERAGES,12,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004456,719163,1,BOOKS,0,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004457,719163,1,BREAD/BAKERY,10,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004458,719163,1,CELEBRATION,0,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004459,719163,1,CLEANING,6,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004460,719163,1,DAIRY,18,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004461,719163,1,DELI,52,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004462,719163,1,EGGS,25,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004463,719163,1,FROZEN FOODS,0,Quito,Pichincha,D,13,48.59,0.0,nannannan
3004464,719163,1,GROCERY I,31,Quito,Pichincha,D,13,48.59,0.0,nannannan
